tittle;rooms;price;meters;bathrooms;garage;terrace;zipcode;year;hotels
Piso en avenida de El Greco, San Pablo, Sevilla;3 hab.;84;54 m²;1;0;0;41007;1963;3
Piso en avenida de Finlandia, Los Bermejales, Sevilla;3 hab.;360;110 m²;2;1;0;41012;2007;3
Piso en avenida de Kansas City, Arroyo - Santa Justa, Sevilla;2 hab.;434,8;110 m²;2;1;1;41007;0;3
Piso en avenida de kansas city, Luis Montoto - Santa Justa, Sevilla;4 hab.;385;165 m²;2;0;1;41018;0;5
Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla;3 hab.;315;140 m²;2;1;1;41018;1983;5
Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla;3 hab.;300;96 m²;1;1;1;41018;0;5
Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla;3 hab.;290;129 m²;2;1;0;41018;0;5
Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla;3 hab.;250;93 m²;1;1;1;41018;0;5
Piso en avenida de Kansas City, Luis Montoto - Santa Justa, Sevilla;4 hab.;233;164 m²;1;0;0;41018;1967;5
Piso en avenida de Kansas City, Santa Clara, Sevilla;3 hab.;260;117 m²;2;0;0;41018;0;5
Piso en avenida de Kansas City, Sevilla, 74, Santa Clara, Sevilla;3 hab.;245;110 m²;2;1;0;41018;0;5
Piso en avenida de Kansas City, Sevilla, 78, Santa Clara, Sevilla;4 hab.;375;124 m²;2;0;0;41018;2004;5
Piso en avenida de Kansas City, Sevilla, Luis Montoto - Santa Justa, Sevilla;4 hab.;422;153 m²;2;0;1;41018;0;5
Piso en avenida de la Barzola, Villegas - Los Principes, Sevilla;3 hab.;59,9;56 m²;1;0;1;41009;1969;2
Piso en avenida de la Barzola, Villegas - Los Principes, Sevilla;3 hab.;115;83 m²;1;1;1;41009;1986;2
Piso en avenida de la Borbolla, Felipe II - Bueno Monreal, Sevilla;7 hab.;525;270 m²;4;0;1;41013;1950;3
Piso en avenida de la Buhaira, s/n, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;720;129 m²;2;1;0;41018;2019;5
Piso en avenida de la Buhaira, San Bernardo-Buhaira-Huerta del Rey, Sevilla;4 hab.;850;152 m²;2;1;1;41018;2019;5
Piso en avenida de la Cruz Roja, Cruz Roja - Capuchinos, Sevilla;5 hab.;225;124 m²;3;0;0;41009;1970;2
Piso en avenida de la Innovación, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;1 hab.;126;75 m²;1;1;0;41020;0;6
Piso en avenida de la Paz, Sevilla, Su Eminencia - La Oliva, Sevilla;3 hab.;115;120 m²;2;1;1;41006;0;1
Piso en avenida de la Paz, Su Eminencia - La Oliva, Sevilla;3 hab.;78,5;78 m²;2;1;1;41006;1996;1
Piso en avenida de la Raza, 3, Felipe II - Bueno Monreal, Sevilla;2 hab.;190;57 m²;1;0;0;41013;2005;3
Piso en avenida de la Raza, Felipe II - Bueno Monreal, Sevilla;3 hab.;550;198 m²;2;1;0;41013;1955;3
Piso en avenida de la Raza, Felipe II - Bueno Monreal, Sevilla;3 hab.;550;180 m²;2;1;1;41013;0;3
Piso en avenida de la Raza, Felipe II - Bueno Monreal, Sevilla;3 hab.;550;198 m²;2;1;0;41013;1955;3
Piso en avenida de la Reina Mercedes, Reina Mercedes - Heliópolis, Sevilla;4 hab.;395;150 m²;2;0;1;41012;0;3
Piso en avenida de la Reina Mercedes, Reina Mercedes - Heliópolis, Sevilla;3 hab.;315;140 m²;2;1;1;41012;1967;3
Piso en avenida de la Reina Mercedes, Reina Mercedes - Heliópolis, Sevilla;3 hab.;200;117 m²;2;0;1;41012;1968;3
Piso en avenida de la Reina Mercedes, Sevilla, Reina Mercedes - Heliópolis, Sevilla;5 hab.;400;180 m²;2;1;1;41012;0;3
Piso en avenida de la República Argentina, 50, Plaza de Cuba - República Argentina, Sevilla;5 hab.;700;280 m²;4;1;1;41011;1971;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;6 hab.;1200;450 m²;5;1;1;41011;0;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;1200;420 m²;4;1;1;41011;0;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;4 hab.;950;358 m²;5;1;1;41011;1968;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;825;301 m²;3;1;1;41011;1966;2
Piso en avenida de la República Argentina, Plaza de Cuba - República Argentina, Sevilla;6 hab.;825;301 m²;3;1;1;41011;1966;2
