tittle;rooms;price;meters;bathrooms;garage;terrace;zipcode;year;hotels
Piso en calle Albaida, Cruz Roja - Capuchinos, Sevilla;3 hab.;235;101 m²;2;0;0;41009;1973;2
Piso en calle Alcalde José de la Bandera, 15, San Bernardo-Buhaira-Huerta del Rey, Sevilla;4 hab.;399,9;155 m²;2;0;1;41018;1990;5
Piso en calle Alcázares, Encarnación-Las Setas, Sevilla;4 hab.;450;231 m²;4;0;0;41003;1900;44
Piso en calle Alcázares, Encarnación-Las Setas, Sevilla;5 hab.;450;250 m²;3;0;0;41003;0;44
Piso en calle Alejandro Collantes, 29, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;1 hab.;120;50 m²;1;0;0;41005;0;2
Piso en calle Alfarería, Calle Betis - Pagés del Corro, Sevilla;1 hab.;189,8;54 m²;1;0;0;41010;2006;5
Piso en calle Algámitas, Pio Xii, Sevilla;2 hab.;86;70 m²;1;0;0;41008;1962;1
Piso en calle Alhondiga, Encarnación-Las Setas, Sevilla;3 hab.;345;116 m²;1;0;1;41003;2010;44
Piso en calle Almirante Hoyos, Santa Cruz - Alfalfa, Sevilla;1 hab.;197;73 m²;1;0;0;41004;1994;53
Piso en calle Alondra, Los Pajaritos, Sevilla;2 hab.;43,5;52 m²;1;0;0;41006;1960;1
Piso en calle ALONSO CARRILLO, 18, Luis Montoto - Santa Justa, Sevilla;2 hab.;250;89 m²;2;0;1;41007;2020;3
Piso en calle ALONSO CARRILLO, 18, Luis Montoto - Santa Justa, Sevilla;1 hab.;190;62 m²;1;0;1;41007;2020;3
Piso en calle Álvarez Quintero, Sevilla, Santa Cruz - Alfalfa, Sevilla;3 hab.;975;189 m²;3;0;0;41004;0;53
Piso en calle Amador de los Ríos, Puerta Carmona-Puerta Osario-Amador de los Ríos, Sevilla;3 hab.;233;85 m²;1;0;1;41003;1974;44
Piso en calle Amador de los Ríos, s/n, Puerta Carmona-Puerta Osario-Amador de los Ríos, Sevilla;4 hab.;414;235 m²;2;0;1;41003;0;44
Piso en calle Ambrosio de la Cuesta, Bellavista, Sevilla;2 hab.;140;78 m²;2;1;0;41014;2000;3
Piso en calle Andromeda, Los Pajaritos, Sevilla;2 hab.;44,5;54 m²;1;0;0;41006;1960;1
Piso en calle Antonio Asenjo, Villegas - Los Principes, Sevilla;3 hab.;64;88 m²;1;0;1;41011;0;2
Piso en calle Antonio Buero Vallejo, Parlamento - Torneo, Sevilla;1 hab.;140;67 m²;1;0;0;41009;0;2
Piso en calle Antonio Susillo, Sevilla, Feria, Sevilla;3 hab.;190;97 m²;1;0;0;41003;1965;44
Piso en calle Argote de Molina, Santa Cruz - Alfalfa, Sevilla;3 hab.;275;97 m²;2;0;0;41004;1960;53
Piso en calle Arjona, Arenal - Museo, Sevilla;4 hab.;373;121 m²;2;1;1;41001;1985;48
Piso en calle Arjona, Arenal - Museo, Sevilla;1 hab.;250;79 m²;1;0;0;41001;2019;48
Piso en calle Avión Cuatro Vientos, El Juncal - El Porvenir, Sevilla;3 hab.;232,8;138 m²;2;0;1;41013;0;3
Piso en calle Avión Cuatro Vientos, El Juncal - El Porvenir, Sevilla;3 hab.;232,8;138 m²;2;0;0;41013;0;3
Piso en calle Azorín, La Plata, Sevilla;3 hab.;97;96 m²;1;0;0;41006;1970;1
Piso en calle Azorín, s/n, La Plata, Sevilla;2 hab.;48,5;103 m²;2;0;0;41006;1952;1
Piso en calle Bangkok, Emilio Lemos, Sevilla;3 hab.;127;83 m²;2;1;0;41020;1995;6
Piso en calle Bartolomé de Medina, San Bernardo-Buhaira-Huerta del Rey, Sevilla;4 hab.;340;160 m²;3;0;0;41018;1939;5
Piso en calle Bartolomé de Medina, Sevilla, San Bernardo-Buhaira-Huerta del Rey, Sevilla;4 hab.;340;160 m²;3;0;0;41018;0;5
Piso en calle Beatriz de Suabia, 60, Nervión, Sevilla;3 hab.;340;115 m²;2;1;1;41005;2020;2
Piso en calle Beatriz de Suabia, Nervión, Sevilla;4 hab.;325;163 m²;2;1;1;41005;1970;2
Piso en calle Beatriz de Suabia, Nervión, Sevilla;2 hab.;240;96 m²;2;0;1;41005;0;2
Piso en calle Beatriz de Suabia, Nervión, Sevilla;4 hab.;191;104 m²;2;0;1;41005;0;2
Piso en calle Béjar, Parque de los Principes - Calle Niebla, Sevilla;3 hab.;265;82 m²;1;0;0;41011;0;2
Piso en calle Benito Mas y Prat, s/n, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;300;98 m²;2;1;1;41018;1974;5
Piso en Calle Betis - Pagés del Corro, Sevilla;3 hab.;442;148 m²;2;0;0;41010;2016;5
Piso en Calle Betis - Pagés del Corro, Sevilla;3 hab.;399;149 m²;2;0;1;41010;0;5
Piso en Calle Betis - Pagés del Corro, Sevilla;3 hab.;275;92 m²;2;0;1;41010;1978;5
Piso en Calle Betis - Pagés del Corro, Sevilla;3 hab.;247;75 m²;1;0;0;41010;0;5
Piso en Calle Betis - Pagés del Corro, Sevilla;3 hab.;247;81 m²;1;0;0;41010;1950;5
Piso en Calle Betis - Pagés del Corro, Sevilla;2 hab.;245;70 m²;2;0;0;41010;2019;5
Piso en Calle Betis - Pagés del Corro, Sevilla;3 hab.;235;100 m²;1;0;1;41010;1950;5
Piso en Calle Betis - Pagés del Corro, Sevilla;2 hab.;224;94 m²;1;0;1;41010;2000;5
Piso en Calle Betis - Pagés del Corro, Sevilla;2 hab.;216;82 m²;2;1;0;41010;0;5
Piso en Calle Betis - Pagés del Corro, Sevilla;2 hab.;212,1;83 m²;1;0;0;41010;1970;5
Piso en Calle Betis - Pagés del Corro, Sevilla;3 hab.;210;80 m²;1;0;0;41010;1969;5
Piso en Calle Betis - Pagés del Corro, Sevilla;1 hab.;207;45 m²;1;0;1;41010;0;5
Piso en Calle Betis - Pagés del Corro, Sevilla;1 hab.;195;55 m²;1;0;0;41010;2019;5
Piso en Calle Betis - Pagés del Corro, Sevilla;1 hab.;190;60 m²;1;0;0;41010;2008;5
Piso en Calle Betis - Pagés del Corro, Sevilla;2 hab.;179;60 m²;1;0;0;41010;0;5
Piso en Calle Betis - Pagés del Corro, Sevilla;2 hab.;179;66 m²;1;0;0;41010;1965;5
Piso en Calle Betis - Pagés del Corro, Sevilla;2 hab.;179;60 m²;1;0;0;41010;0;5
Piso en Calle Betis - Pagés del Corro, Sevilla;2 hab.;178;64 m²;1;0;0;41010;1970;5
Piso en calle Betis, Calle Betis - Pagés del Corro, Sevilla;1 hab.;540;75 m²;1;0;0;41010;1940;5
Piso en calle Boqueron, San Jerónimo, Sevilla;2 hab.;65;52 m²;1;0;1;41015;1964;0
Piso en calle Cabo de Gata, 1, Villegas - Los Principes, Sevilla;3 hab.;91;94 m²;1;0;0;41011;0;2
Piso en calle Cabo de Gata, 1, Villegas - Los Principes, Sevilla;3 hab.;99;87 m²;1;1;1;41011;1981;2
Piso en calle Camelia, Villegas - Los Principes, Sevilla;2 hab.;114,3;58 m²;1;0;0;41011;1970;2
Piso en calle Campo de los Mártires, Luis Montoto - Santa Justa, Sevilla;3 hab.;300;100 m²;2;1;1;41018;2003;5
Piso en calle Candelería, Los Pajaritos, Sevilla;3 hab.;80,8;79 m²;1;0;0;41006;1958;1
Piso en calle Cantabria, Sevilla, Plaza de la Gavidia-San Lorenzo, Sevilla;1 hab.;180;50 m²;1;0;0;41002;1900;17
Piso en calle Cardenal Lluch, Nervión, Sevilla;4 hab.;199;95 m²;1;0;1;41005;1968;2
Piso en calle Cardenal Lluch, Nervión, Sevilla;3 hab.;184,8;86 m²;1;0;0;41005;1971;2
Piso en calle Carlos Brujes, Tiro de Línea, Sevilla;3 hab.;228;88 m²;1;1;0;41013;1945;3
Piso en calle Carlos García Oviedo, Amate, Sevilla;2 hab.;77;66 m²;1;0;0;41006;1957;1
Piso en calle Carmen Conde, Parque Alcosa, Sevilla;2 hab.;129;67 m²;2;1;0;41019;2006;0
Piso en calle CARPINTERO, s/n, Pino Montano, Sevilla;3 hab.;136;70 m²;1;0;0;41015;0;0
Piso en calle Carteros, Los Carteros - San Diego, Sevilla;3 hab.;154;84 m²;2;1;1;41015;2004;0
Piso en calle Carteros, Los Carteros - San Diego, Sevilla;3 hab.;154;84 m²;2;1;1;41015;2004;0
Piso en calle Castelar, Arenal - Museo, Sevilla;4 hab.;864;240 m²;3;1;1;41001;1965;48
Piso en calle Castelar, Sevilla, Arenal - Museo, Sevilla;4 hab.;595;249 m²;3;0;1;41001;0;48
Piso en calle Castilla, Calle Betis - Pagés del Corro, Sevilla;1 hab.;129,9;39 m²;1;0;0;41010;0;5
Piso en calle Castillo de Alcala de Guadaira, 1113, Bami - Pineda, Sevilla;3 hab.;198;90 m²;1;0;0;41013;0;3
Piso en calle Castillo de Alcala de Guadaira, 12, Bami - Pineda, Sevilla;3 hab.;198;90 m²;1;0;0;41013;0;3
Piso en calle Castillo de Alcala de Guadaira, Bami - Pineda, Sevilla;3 hab.;198;90 m²;1;0;1;41013;1974;3
Piso en calle Castillo de Alcala de Guadaira, Bami - Pineda, Sevilla;3 hab.;198;92 m²;1;0;0;41013;1974;3
Piso en calle Castillo de Alcala de Guadaira, Bami - Pineda, Sevilla;3 hab.;198;90 m²;1;0;0;41013;0;3
Piso en calle Castillo de Aroche, Bami - Pineda, Sevilla;2 hab.;180;76 m²;1;0;0;41013;0;3
Piso en calle Castillo de Baños de la Encina, 10, Bami - Pineda, Sevilla;3 hab.;250;109 m²;2;0;1;41013;1991;3
Piso en calle Casuarina, 1, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;1 hab.;115;57 m²;1;1;0;41020;2005;6
Piso en calle Céfiro, 3, Luis Montoto - Santa Justa, Sevilla;3 hab.;185;81 m²;1;0;0;41018;1972;5
Piso en calle Céfiro, Luis Montoto - Santa Justa, Sevilla;3 hab.;269;129 m²;3;1;1;41018;0;5
Piso en calle Celestino López Martínez, Los Pajaritos, Sevilla;2 hab.;62,5;53 m²;1;0;0;41006;1960;1
Piso en calle Celestino López Martínez, Los Pajaritos, Sevilla;2 hab.;74,5;55 m²;1;0;0;41006;1959;1
Piso en calle Cereza, s/n, Parlamento - Torneo, Sevilla;3 hab.;75;50 m²;1;0;0;41009;0;2
Piso en calle Chaves Nogales, s/n, Nervión, Sevilla;3 hab.;280;108 m²;2;0;1;41005;1986;2
Piso en calle Ciudad de Paterna, Parque Alcosa, Sevilla;3 hab.;89,9;90 m²;1;0;1;41019;1971;0
Piso en calle Ciudad de Sueca, Parque Alcosa, Sevilla;2 hab.;106,5;75 m²;1;0;0;41019;0;0
Piso en calle Coimbra, s/n, Rochelambert, Sevilla;2 hab.;82;76 m²;1;0;0;41006;1971;1
Piso en calle Colombia, Felipe II - Bueno Monreal, Sevilla;1 hab.;215;140 m²;1;0;1;41013;1940;3
Piso en calle Colonia, 2, Los Bermejales, Sevilla;3 hab.;260;120 m²;2;1;0;41012;1993;3
Piso en calle Conde de Cifuentes, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;270;127 m²;2;0;1;41018;1962;5
Piso en calle Condes de Bustillo, López de Gomara, Sevilla;3 hab.;336;107 m²;2;0;1;41010;1965;5
Piso en calle Constantina, s/n, Villegas - Los Principes, Sevilla;3 hab.;55;59 m²;1;0;0;41008;1963;1
Piso en calle Contador, Santa Aurelia, Sevilla;2 hab.;113,5;76 m²;1;1;0;41006;2005;1
Piso en calle Corral del Rey, Santa Cruz - Alfalfa, Sevilla;2 hab.;298;80 m²;1;0;0;41004;0;53
Piso en calle Cristo de la Sed, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;4 hab.;160;110 m²;1;0;0;41005;1980;2
Piso en calle Cristo de Velazquez, San Pablo, Sevilla;3 hab.;59,9;54 m²;1;0;0;41007;1963;3
Piso en calle Cristo de Velazquez, San Pablo, Sevilla;3 hab.;119,4;94 m²;1;0;0;41007;1982;3
Piso en calle Cristo de Velazquez, San Pablo, Sevilla;3 hab.;119,4;94 m²;1;0;0;41007;0;3
Piso en calle Cristo del Buen Fin, San Vicente, Sevilla;3 hab.;180;93 m²;1;0;1;41002;1967;17
Piso en calle Cruz del Sur, Los Pajaritos, Sevilla;3 hab.;44,99;53 m²;1;0;0;41006;0;1
Piso en calle Cueva de la Pileta, s/n, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;3 hab.;246;109 m²;2;0;0;41020;1985;6
Piso en calle Cueva de Menga, 3, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;3 hab.;219;112 m²;2;0;1;41020;2000;6
Piso en calle Curtidurías, San Vicente, Sevilla;4 hab.;420;140 m²;2;0;0;41002;0;17
Piso en calle del Regimiento de Soria, La Salle-Avd Manuel del Valle-Las Naciones, Sevilla;3 hab.;95;71 m²;1;0;1;41008;0;1
Piso en calle Diego Angulo Íñiguez, 14, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;400;154 m²;3;1;0;41018;1992;5
Piso en calle Dobla, Santa Aurelia, Sevilla;2 hab.;68;65 m²;1;0;0;41006;0;1
Piso en calle Doctor Felipe Martinez, Nervión, Sevilla;3 hab.;410;123 m²;2;1;0;41005;1998;2
Piso en calle Doctor Leal Castaños, s/n, Parlamento - Torneo, Sevilla;3 hab.;72,5;66 m²;1;0;0;41009;1970;2
Piso en calle Doctor Morote Calafach, Doctor Fedriani, Sevilla;3 hab.;82;77 m²;1;0;1;41009;0;2
Piso en calle Doctor Pedro de Castro, s/n, Prado de San Sebastián - Ramón Carande, Sevilla;4 hab.;650;162 m²;3;1;0;41004;1980;53
Piso en calle Dolores Ibárruri Pasionaria, Su Eminencia - La Oliva, Sevilla;3 hab.;65;79 m²;2;0;0;41013;0;3
Piso en calle Don Fadrique, Parlamento - Torneo, Sevilla;3 hab.;295;131 m²;2;1;0;41009;1998;2
Piso en calle Don Fadrique, s/n, Parlamento - Torneo, Sevilla;3 hab.;300;98 m²;2;0;0;41009;0;2
Piso en calle DOÑA FRANCISQUITA, La Plata, Sevilla;3 hab.;80;88 m²;1;0;0;41006;0;1
Piso en calle Doña Guiomar, Arenal - Museo, Sevilla;1 hab.;180;50 m²;1;0;0;41001;0;48
Piso en calle Dueñas, Encarnación-Las Setas, Sevilla;4 hab.;428;190 m²;5;0;1;41003;0;44
Piso en calle Duque de Rivas, 1, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;4 hab.;291,4;123 m²;2;0;1;41005;0;2
Piso en calle Duque de Rivas, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;4 hab.;291,4;123 m²;2;0;0;41005;0;2
Piso en calle el Fandango, San Pablo, Sevilla;3 hab.;80;55 m²;1;0;0;41007;1965;3
Piso en calle Electricidad, Santa Aurelia, Sevilla;4 hab.;160;124 m²;2;1;1;41006;2003;1
Piso en calle Enramadilla, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;570;175 m²;2;1;1;41018;2006;5
Piso en calle Enramadilla, San Bernardo-Buhaira-Huerta del Rey, Sevilla;4 hab.;485;180 m²;3;0;0;41018;0;5
Piso en calle Enramadilla, Sevilla, San Bernardo-Buhaira-Huerta del Rey, Sevilla;4 hab.;690;189 m²;3;1;1;41018;2004;5
Piso en calle Esperanza de Triana, López de Gomara, Sevilla;4 hab.;280;97 m²;2;0;1;41010;1970;5
Piso en calle Estanislao del Campo, Doctor Fedriani, Sevilla;3 hab.;84,5;85 m²;1;0;1;41009;1974;2
Piso en calle Estrella Mira, Pino Montano, Sevilla;4 hab.;106;104 m²;2;0;0;41015;0;0
Piso en calle Eva Cervantes, Juan XXIII, Sevilla;4 hab.;108;101 m²;2;0;1;41006;0;1
Piso en calle Fabié, Calle Betis - Pagés del Corro, Sevilla;2 hab.;176;64 m²;1;0;0;41010;1965;5
Piso en calle Factores, San Jerónimo, Sevilla;4 hab.;135,5;90 m²;2;0;0;41015;2008;0
Piso en calle Farmaceutico Murillo Herrera, López de Gomara, Sevilla;2 hab.;331,6;90 m²;2;0;0;41010;2019;5
Piso en calle Federico Mayo Gayarre, Amate, Sevilla;2 hab.;63;65 m²;1;0;1;41006;0;1
Piso en calle Federico Mayo Gayarre, Amate, Sevilla;2 hab.;69,9;65 m²;1;0;1;41006;1960;1
Piso en calle Felipe II, El Porvenir, Sevilla;4 hab.;499;180 m²;2;0;0;41013;0;3
Piso en calle Felipe II, El Porvenir, Sevilla;5 hab.;395;198 m²;2;0;1;41013;1955;3
Piso en calle Felipe II, El Porvenir, Sevilla;6 hab.;392,5;198 m²;2;0;0;41013;1955;3
Piso en calle Felipe II, El Porvenir, Sevilla;6 hab.;380;185 m²;2;0;1;41013;0;3
Piso en calle Felipe II, El Porvenir, Sevilla;4 hab.;360;175 m²;2;0;0;41013;1963;3
Piso en calle Felipe II, El Porvenir, Sevilla;4 hab.;360;175 m²;2;0;1;41013;1962;3
Piso en calle Feria, Feria, Sevilla;5 hab.;450;250 m²;3;0;0;41003;0;44
Piso en calle Fernández de Ribera, Nervión, Sevilla;4 hab.;295;130 m²;2;1;0;41005;0;2
Piso en calle Fernando IV, Asunción - Adolfo Suárez, Sevilla;4 hab.;399;163 m²;2;0;1;41011;1974;2
Piso en calle Flor de Azalea, Avenida de las Ciencias, Sevilla;2 hab.;154,5;82 m²;2;0;0;41020;1997;6
Piso en calle Flor de Azalea, Avenida de las Ciencias, Sevilla;2 hab.;154,5;82 m²;2;0;0;41020;1997;6
Piso en calle Flor de Retama, Avenida de las Ciencias, Sevilla;2 hab.;140;94 m²;1;1;0;41020;1996;6
Piso en calle Flor de Retama, Avenida de las Ciencias, Sevilla;2 hab.;144,5;72 m²;1;1;0;41020;1996;6
Piso en calle Flor de Retama, Avenida de las Ciencias, Sevilla;3 hab.;145,9;100 m²;1;1;0;41020;1997;6
Piso en calle Flor de Salvia, Avenida de las Ciencias, Sevilla;2 hab.;169,6;105 m²;2;1;0;41020;1997;6
Piso en calle Flor de Tomillo, Avenida de las Ciencias, Sevilla;3 hab.;139,8;83 m²;1;1;0;41020;1996;6
Piso en calle Flor de Tomillo, Avenida de las Ciencias, Sevilla;3 hab.;147,2;94 m²;2;1;0;41020;1996;6
Piso en calle Florencio Quintero, Cruz Roja - Capuchinos, Sevilla;3 hab.;377;164 m²;2;1;0;41009;0;2
Piso en calle Francisco Carrera Iglesias, Cerro del Águila, Sevilla;2 hab.;167;72 m²;1;0;1;41006;2000;1
Piso en calle Francisco Collantes de Terán, Barrio León - Tardón, Sevilla;3 hab.;210;97 m²;2;0;1;41010;1977;5
Piso en calle Francisco Pacheco, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;3 hab.;238;86 m²;2;1;1;41005;0;2
Piso en calle Francos, Santa Cruz - Alfalfa, Sevilla;3 hab.;295;94 m²;1;0;0;41004;0;53
Piso en calle Frascuelo, Sevilla, 10, San Pablo, Sevilla;3 hab.;58;63 m²;1;0;0;41007;0;3
Piso en calle Fray Diego de Cádiz, Parlamento - Torneo, Sevilla;3 hab.;145;71 m²;1;0;0;41009;0;2
Piso en calle Fray Diego de Cádiz, San Julián, Sevilla;3 hab.;145;71 m²;1;0;0;41003;0;44
Piso en calle Fray Isidoro de Sevilla, Parlamento - Torneo, Sevilla;4 hab.;183;120 m²;2;0;0;41009;1965;2
Piso en calle Fray Serafín de Ausejo, Rochelambert, Sevilla;3 hab.;68;68 m²;1;0;0;41006;1971;1
Piso en calle Fray Tomás de Berlanga, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;3 hab.;145,1;78 m²;1;0;0;41010;0;5
Piso en calle Fresa, Alameda, Sevilla;2 hab.;244;99 m²;1;0;0;41002;1969;17
Piso en calle Galicia, Cerro del Águila, Sevilla;2 hab.;85;69 m²;1;0;0;41006;1947;1
Piso en calle Gaviota, Los Pajaritos, Sevilla;2 hab.;49,9;52 m²;1;0;0;41006;0;1
Piso en calle Gaviota, Los Pajaritos, Sevilla;2 hab.;49,9;52 m²;1;0;0;41006;0;1
Piso en calle Génova, Plaza de Cuba - República Argentina, Sevilla;4 hab.;550;187 m²;3;1;1;41011;1971;2
Piso en calle Génova, Plaza de Cuba, Plaza de Cuba - República Argentina, Sevilla;4 hab.;550;187 m²;3;0;1;41011;1971;2
Piso en calle Goles, San Vicente, Sevilla;2 hab.;280;97 m²;1;0;0;41002;1958;17
Piso en calle Goleta, Los Bermejales, Sevilla;3 hab.;127,26;77 m²;1;0;1;41012;1948;3
Piso en calle Gonzalo Bilbao, Sevilla, Puerta Carmona-Puerta Osario-Amador de los Ríos, Sevilla;3 hab.;379;106 m²;2;1;0;41003;2009;44
Piso en calle Guadalajara, Bellavista, Sevilla;4 hab.;144,99;102 m²;2;1;1;41014;1981;3
Piso en calle Gustavo Gallardo, La Palmera - Manuel Siurot, Sevilla;4 hab.;210;104 m²;1;1;0;41013;0;3
Piso en calle Huesca, Cerro del Águila, Sevilla;3 hab.;85;70 m²;1;0;0;41006;1978;1
Piso en calle Ignacio Gómez Millán, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla;3 hab.;259,9;110 m²;2;0;1;41010;0;5
Piso en calle Ingeniero la Cierva, La Plata, Sevilla;3 hab.;107,26;81 m²;1;0;1;41006;1970;1
Piso en calle Isaac Albéniz, Luis Montoto - Santa Justa, Sevilla;1 hab.;147;69 m²;1;0;1;41007;0;3
Piso en calle Jaira, 4, Parlamento - Torneo, Sevilla;4 hab.;335;150 m²;2;0;0;41009;1977;2
Piso en calle Jandula, Bami - Pineda, Sevilla;3 hab.;471;130 m²;2;1;1;41013;2009;3
Piso en calle Jesús del Gran Poder, Alameda, Sevilla;2 hab.;180;68 m²;1;0;0;41002;1973;17
Piso en calle Joaquín Guichot, 8, Arenal - Museo, Sevilla;6 hab.;823,2;235 m²;3;0;0;41001;0;48
Piso en calle Jose Bermejo, s/n, Villegas - Los Principes, Sevilla;3 hab.;68;88 m²;2;0;0;41009;0;2
Piso en calle Jose Bermejo, Villegas - Los Principes, Sevilla;3 hab.;68;82 m²;1;0;1;41009;1970;2
Piso en calle José de la Cámara, San Bernardo-Buhaira-Huerta del Rey, Sevilla;4 hab.;495;175 m²;2;0;1;41018;0;5
Piso en calle José Díaz, Parlamento - Torneo, Sevilla;3 hab.;164,5;86 m²;1;0;1;41009;1981;2
Piso en calle José María Osborne, Prado de San Sebastián - Ramón Carande, Sevilla;7 hab.;900;258 m²;3;0;0;41004;1930;53
Piso en calle Jose Saramago, s/n, Tiro de Línea, Sevilla;2 hab.;119;40 m²;1;0;0;41013;0;3
Piso en calle Juan Díaz de Solís, Barrio León - Tardón, Sevilla;2 hab.;103;65 m²;1;0;0;41010;1951;5
Piso en calle Juan Díaz de Solís, Barrio León - Tardón, Sevilla;2 hab.;129,5;61 m²;1;0;0;41010;1951;5
Piso en calle Juan Díaz de Solís, Barrio León - Tardón, Sevilla;3 hab.;140,4;61 m²;1;0;0;41010;1951;5
Piso en calle Juan Manuel Rodríguez Correa, Parlamento - Torneo, Sevilla;5 hab.;240;126 m²;2;0;1;41009;1970;2
Piso en calle Juan Sebastián Elcano, 36, Asunción - Adolfo Suárez, Sevilla;4 hab.;325;108 m²;2;0;0;41011;1956;2
Piso en calle Juan Sebastián Elcano, Asunción - Adolfo Suárez, Sevilla;4 hab.;419;152 m²;2;1;1;41011;1981;2
Piso en calle Juan Sebastián Elcano, Asunción - Adolfo Suárez, Sevilla;3 hab.;390;122 m²;2;0;0;41011;1966;2
Piso en calle Juan Sebastián Elcano, Asunción - Adolfo Suárez, Sevilla;4 hab.;375;151 m²;3;0;0;41011;1965;2
Piso en calle Juan Sebastián Elcano, Asunción - Adolfo Suárez, Sevilla;4 hab.;348;120 m²;2;1;1;41011;1975;2
Piso en calle Juan Sebastián Elcano, Asunción - Adolfo Suárez, Sevilla;4 hab.;325;142 m²;2;0;0;41011;1958;2
Piso en calle Juan Sebastián Elcano, Asunción - Adolfo Suárez, Sevilla;4 hab.;300;140 m²;2;0;1;41011;0;2
Piso en calle Juan Talavera Heredia, Cerro del Águila, Sevilla;3 hab.;79;70 m²;1;0;1;41006;1970;1
Piso en calle Justino Matute, López de Gomara, Sevilla;4 hab.;350;102 m²;2;0;0;41010;1968;5
Piso en calle Juventud, s/n, Palmete-Padre Pío-Hacienda San Antonio, Sevilla;2 hab.;50;79 m²;1;0;0;41006;1990;1
Piso en calle la Algaba, La Plata, Sevilla;3 hab.;113;100 m²;2;1;0;41006;2003;1
Piso en calle la Luisiana, s/n, Villegas - Los Principes, Sevilla;2 hab.;54;59 m²;1;0;0;41008;1965;1
Piso en calle la Petenera, San Pablo, Sevilla;4 hab.;160;140 m²;2;0;1;41007;1968;3
Piso en calle la Puebla del Río, Palmete-Padre Pío-Hacienda San Antonio, Sevilla;3 hab.;117;84 m²;2;1;1;41006;2003;1
Piso en calle las Cruzadas, Prado de San Sebastián - Ramón Carande, Sevilla;5 hab.;382,25;195 m²;2;1;1;41004;1972;53
Piso en calle las Naciones, La Salle-Avd Manuel del Valle-Las Naciones, Sevilla;3 hab.;69;73 m²;1;0;1;41007;1970;3
Piso en calle Lealtad, López de Gomara, Sevilla;2 hab.;253,5;140 m²;1;0;0;41010;1950;5
Piso en calle Leñadores, Pino Montano, Sevilla;3 hab.;89;77 m²;1;0;0;41015;1976;0
Piso en calle Leñadores, Pino Montano, Sevilla;3 hab.;89;77 m²;1;0;0;41015;0;0
Piso en calle León X, Parlamento - Torneo, Sevilla;3 hab.;145;70 m²;1;0;1;41009;0;2
Piso en calle Leon XIII, Cruz Roja - Capuchinos, Sevilla;4 hab.;248;119 m²;2;0;0;41009;0;2
Piso en calle León XIII, Parlamento - Torneo, Sevilla;3 hab.;135;71 m²;1;0;0;41009;1958;2
Piso en calle León XIII, Sevilla, Cruz Roja - Capuchinos, Sevilla;4 hab.;254,5;150 m²;2;0;1;41009;0;2
Piso en calle Lisboa, Cerro del Águila, Sevilla;2 hab.;89;69 m²;1;0;0;41006;1956;1
Piso en calle los Romeros, 2, Doctor Fedriani, Sevilla;2 hab.;52,6;56 m²;1;0;0;41009;1972;2
Piso en calle los Romeros, Doctor Fedriani, Sevilla;2 hab.;68;54 m²;1;0;0;41009;0;2
Piso en calle Luis Cadarso, Puerta Carmona-Puerta Osario-Amador de los Ríos, Sevilla;3 hab.;335;128 m²;1;0;1;41003;0;44
Piso en calle Luis Fuentes Bejarano, s/n, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;3 hab.;192;85 m²;2;0;0;41020;0;6
Piso en calle Luis Montoto, 125, Luis Montoto - Santa Justa, Sevilla;4 hab.;340,5;167 m²;2;0;1;41007;0;3
Piso en calle Luis Montoto, Luis Montoto - Santa Justa, Sevilla;4 hab.;340,5;167 m²;2;0;1;41007;1981;3
Piso en calle Luis Montoto, Luis Montoto - Santa Justa, Sevilla;4 hab.;340,5;167 m²;2;0;0;41007;0;3
Piso en calle Luis Montoto, Luis Montoto - Santa Justa, Sevilla;4 hab.;275;139 m²;2;0;0;41007;1952;3
Piso en calle Luis Montoto, Luis Montoto - Santa Justa, Sevilla;3 hab.;250;79 m²;2;0;1;41007;1975;3
Piso en calle Luis Montoto, Luis Montoto - Santa Justa, Sevilla;3 hab.;250;80 m²;2;0;0;41007;0;3
Piso en calle Luis Montoto, Luis Montoto - Santa Justa, Sevilla;3 hab.;250;79 m²;2;0;1;41007;1975;3
Piso en calle Luis Montoto, Luis Montoto - Santa Justa, Sevilla;3 hab.;248;79 m²;2;0;1;41007;1975;3
Piso en calle Luis Montoto, San Bernardo-Buhaira-Huerta del Rey, Sevilla;4 hab.;400;152 m²;2;0;1;41018;1998;5
Piso en calle Luis Montoto, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;375;100 m²;2;1;0;41018;0;5
